Location,StockID,Color,Shape,Clarity,Weight,Polish,Symmetry,Measurement,Depth,Table,Fluoresence,Fluoresence Color,Lab,CertNo,Unit,Price/Ct,Curr
Mumbai,7116,Fancy Light Purplish Pink,Cushion,SI2,0.4,G,F,4.14 X 3.99 X 2.72,68.3,56,Med,Blue,GIA,2286000000,Cts,8888,US$
Bangkok,6075,Fancy Brownish Greenish Yellow,Oval,SI2,0.4,VG,GD,5.35 X 3.91 X 2.45,62.7,54,Med,Yellow,GIA,6433000000,Cts,1000,US$
Mumbai,6862,G,Emerald,,0.4,,,7.00 x 5.20,0,0,None,,,SV-70,Cts,50715,US$
Bangkok,5644,,Shield,VS1,0.4,,,XX,0,0,None,,Side Stone,,Cts,1400,US$
Hong Kong,5132,,Cadillac,,0.4,,,4.10x3.40,0,0,None,,Side Stone,,Cts,1400,US$
Mumbai,4072,,Trapezoid,,0.4,,,4.6X3.15,0,0,None,,Side Stone,,Cts,1400,US$
Mumbai,8227,Fancy Brownish Yellow,Pear,VS2,0.4,,,6.30 x 6.30 x 2.21,,,-,,,,Cts,300,US$
Bangkok,6401,Light Pink,Cushion,I1,0.4,VG,VG,4.44 x 3.83 x 2.59,67.4,61,Fnt,,GIA,6224000000,Cts,6000,US$
Mumbai,7722,Fancy Pink Purple,Radiant,VS1,0.4,EX,VG,4.62 X 3.64 X 2.44,67.1,57,None,,GIA,1478000000,Cts,18500,US$
Mumbai,8245,Fancy Greenish Yellow,Emerald,SI1,0.4,,,5.3X3.09X2.25,,,,,,,Cts,300,US$
Mumbai,8211,Fancy Pink Brown,Pear,SI1,0.4,,,6.11X3.73X2.22,,,-,,,,Cts,300,US$
Mumbai,8923,F,Pear,VS2,0.4,VG,F,6.53 x 4.01 x 2.48,62,61,None,,GIA,1537000000,Cts,950,US$
Mumbai,9368,F,Pear,VVS2,0.4,EX,VG,6.49 x 4.06 x 2.60,64.1,62,None,,GIA,1550000000,Cts,1100,US$
Bangkok,3771,O-P,Round,SI2,0.4,EX,VG,4.7*4.74*2.96,62.6,54,Fnt,,GIA,6352000000,Cts,850,US$
Bangkok,5742,I,Radiant,VVS1,0.4,,,4.36 x 3.63 x 2.72,,66,,,,,Cts,0,US$
Bangkok,6272,Fancy Light Pink,Cushion,SI2,0.4,G,F,4.29 X 3.87 X 2.44,63.1,62,None,,GIA,6392000000,Cts,8888,US$
Mumbai,6175,E,Emerald,VVS1,0.4,G,GD,4.54 X 3.62 X 2.78,76.8,70,None,,GIA,2223000000,Cts,1145,US$
Bangkok,6058,Fancy Light Pink,Cushion,SI2,0.4,VG,VG,4.28 X 3.88 X 2.65,68.2,60,None,,GIA,5221000000,Cts,9900,US$
Bangkok,5415,Fancy Light Bluish Green,Cushion,VVS1,0.4,G,GD,4.23X 3.94X 2.62,66.6,59,Fnt,,GIA,5373000000,Cts,4700,US$
Mumbai,9374,Fancy Pink,Pear,VVS1,0.4,EX,VG,5.73 X 3.98 X 2.48,62.3,61,None,,GIA,2496000000,Cts,18000,US$
Mumbai,9216,Faint Pink,Round,VS2,0.4,EX,VG,4.50 - 4.54 X 2.97,65.8,57,None,,GIA,7361000000,Cts,2000,US$
Mumbai,5637,G,Trapezoid,VS1,0.39,,,XX,0,0,None,,Side Stone,,Cts,1300,US$
Mumbai,258,Fancy Intense Orange Yellow,Cushion,I1,0.39,G,GD,5.45X3.97X2.29,57.8,61,STG,Yellow,GIA,2237000000,Cts,3500,US$
Mumbai,6182,Fancy Intense Yellow,Cushion,SI1,0.39,VG,VG,4.16 X 3.89 X 2.69,69.1,55,None,,GIA,2221000000,Cts,1800,US$
Bangkok,213,Fancy Light Purplish Pink,Other,SI2,0.38,,,XX,0,0,None,,CGL,7606498,Cts,25000,US$
Mumbai,8225,Fancy Greenish Yellow,Pear,I2,0.38,,,5.7X3.92X2.53,,,-,,,,Cts,300,US$
Bangkok,6511,,Half Moon,,0.38,,,5.25 X 2.65,,,None,,Side Stone,,Cts,1300,US$
Mumbai,8236,Fancy Dark Brown Greenish Yellow,Emerald,VS1,0.37,,,5.41X3.16X1.81,,,,,,,Cts,300,US$
Mumbai,1398,Fancy Purplish Pink,Round,I1,0.37,G,F,4.64X4.56X2.90,63,59,Med,Blue,GIA,2257000000,Cts,15500,US$
Mumbai,149,Fancy Light Purplish Pink,Oval,SI2,0.37,G,GD,4.93X3.42X2.74,80.1,60,Med,Blue,GIA,2187000000,Cts,7500,US$
Mumbai,1325,Fancy Deep Pink,Pear,I1,0.37,,,5.54x3.79x2.47,0,0,Fnt,,CGL,h8059183,Cts,25000,US$
Mumbai,5756,Fancy Light Orangy Pink,Marquise,VS2,0.37,VG,VG,7.41 X 3.64 X 2.29,62.9,58,None,,GIA,1190000000,Cts,6000,US$
Bangkok,4559,,Kite Step Cut,,0.37,,,5.5*3.5,0,0,None,,Side Stone,,Cts,0,US$
Hong Kong,4666,,Trapezoid,,0.37,,,,0,0,None,,Side Stone,,Cts,1300,US$
Hong Kong,5737,Fancy Light Pink Brown,Pear,SI2,0.37,G,F,6.20X4.22X2.20,52,62,None,,GIA,5423000000,Cts,3100,US$
Mumbai,6455,,Star,,0.37,,,8.2,0,0,None,,Side Stone,SV-31,Cts,0,US$
Mumbai,7686,Fancy Intense Orange Yellow,Marquise,VS2,0.36,G,F,5.86 X 3.64 X 2.43,66.9,60,None,,GIA,6482000000,Cts,3000,US$
Mumbai,9590,E,Round,VVS1,0.36,EX,EX,4.57 - 4.59 x 2.87,62.6,56,None,,GIA,2407000000,Cts,0,US$
Hong Kong,2308,U-V,Round,VS1,0.35,VG,VG,4.45X4.40X2.83,63.8,64,Fnt,,GIA,6251000000,Cts,1500,US$
Bangkok,5608,Fancy Purple Pink,Cushion,VS2,0.35,VG,GD,4.85 x 3.39 x 2.28,67.2,63,None,,GIA,5414000000,Cts,14000,US$
Mumbai,8251,O-P,Cushion,I1,0.35,,,3.9X3.48X2.58,,,,,,,Cts,300,US$
Mumbai,7799,Faint Pinkish Brown,Heart,VS2,0.35,EX,VG,4.18 X 4.87 X 2.90,59.4,60,None,,GIA,5474000000,Cts,2000,US$
Mumbai,7132,Faint Pink,Round,VVS2,0.35,EX,EX,4.54X4.5X2.8,62.8,56,None,,GIA,7403000000,Cts,1800,US$
Mumbai,2052,Light Purplish Pink,Other,I1,0.35,,,4.31x4.36x2.80,0,0,None,,CGL,h8365158,Cts,2500,US$
Mumbai,8832,Faint Pinkish Brown,Round,SI1,0.35,VG,EX,4.58 - 4.60 x 2.83,61.7,55,Fnt,,GIA,2409000000,Cts,800,US$
Mumbai,3442,Fancy Vivid Purplish Pink,Pear,,0.35,,,5.95 x 3.79 x 2.38,,,None,,GIA,6165000000,Cts,100000,US$
Mumbai,2545,Very Light Gray,Round,VVS2,0.34,VG,EX,4.50X4.48X2.78,61.8,56,None,,GIA,5202000000,Cts,1300,US$
Bangkok,6073,Fancy Light Pinkish Brown,Pear,SI2,0.34,EX,VG,6.20 X 3.67 X 2.27,61.7,54,None,,GIA,5434000000,Cts,2500,US$
Mumbai,2236,Fancy Purplish Pink,Pear,I2,0.34,EX,VG,6.37X3.72X2.08,56.1,61,None,,GIA,2186000000,Cts,8000,US$
Mumbai,6335,Fancy Light Pink,Oval,SI1,0.34,G,GD,4.94 x 3.41 x 2.62,76.8,52,None,,GIA,2477000000,Cts,6800,US$
Bangkok,7133,Very Light Pink,Pear,VS1,0.34,G,GD,5.29X3.74X2.4,62.8,57,None,,GIA,1460000000,Cts,4000,US$
Mumbai,6012,H,Oval,VS1,0.34,G,GD,4.74 x 3.74 x 2.42,64.6,53,None,,GIA,1436000000,Cts,990,US$
Mumbai,7797,Faint Pink,Heart,VVS2,0.34,EX,VG,4.41 X 5.00 X 2.77,55.4,63,None,,GIA,6462000000,Cts,3000,US$
Hong Kong,9500,F,Heart,VS2,0.34,VG,VG,4.33 X 4.79 X 2.74,57.2,60,None,,IGI,797659571,Cts,0,US$
Bangkok,3166,L,Marquise,VS1,0.33,G,GD,6.36*3.47*2.43,45.5,56,None,,IGI,s3g69213,Cts,600,US$
Bangkok,4966,M,Radiant,I1,0.33,VG,VG,4.66X3.30X2.26,68.7,70,None,,GIA,6412000000,Cts,500,US$
Mumbai,7338,Light Pink,Round,I1,0.33,VG,VG,4.38 X 4.36 X 2.7,61.8,60,None,,GIA,6482000000,Cts,3500,US$
Mumbai,257,Fancy Brownish Orangy Pink,Pear,,0.33,,,5.36 x 3.70 x 2.32,0,0,None,,GIA,6186000000,Cts,7000,US$
Bangkok,4674,,Bullet,,0.33,,,,0,0,None,,Side Stone,,Cts,1200,US$
Bangkok,5360,,Half Moon,,0.33,,,3.6 X 3.2,0,0,None,,Side Stone,,Cts,1200,US$
Bangkok,5642,,Trillion,VS1,0.33,,,XX,0,0,None,,Side Stone,,Cts,0,US$
Hong Kong,4610,Fancy Intense Blue,Pear,VS2,0.33,G,F,6.47*3.91*2.02,51.6,51,None,,GIA,2317000000,Cts,180000,US$
Mumbai,7106,Fancy Intense Yellow Orange,Cushion,I1,0.33,G,F,4.19 X 3.60 X 2.39,66.3,62,STG,Yellow,GIA,6415000000,Cts,3600,US$
Mumbai,7102,Fancy Dark Gray Yellowish Green,Cushion,SI2,0.33,VG,GD,4.35 x 4.12 x 2.43,59.1,58,STG,Yellow,GIA,1285000000,Cts,2900,US$
Mumbai,6273,Fancy Brownish Pink,Oval,SI1,0.32,G,F,4.79 X 3.62 X 2.38,65.6,57,None,,GIA,5436000000,Cts,4000,US$
Mumbai,6696,Fancy Vivid Yellow Orange,Cushion,SI2,0.32,VG,VG,4.10 X 3.60 X 2.39,66.5,59,Med,Yellow,GIA,6443000000,Cts,5555,US$
Mumbai,2385,Fancy Vivid Yellow,Radiant,SI2,0.32,VG,GD,3.95X3.51X2.65,75.6,59,None,,GIA,5182000000,Cts,2800,US$
Mumbai,8218,Fancy Greenish Yellow,Pear,SI2,0.32,,,6.14X3.25X2.07,,,-,,,,Cts,300,US$
Bangkok,333,Fancy Pink,Oval,I1,0.32,G,GD,5.26X3.70X2.45,66.2,62,Med,Blue,GIA,6183000000,Cts,40000,US$
Bangkok,4675,,Trapezoid,,0.32,,,,0,0,None,,Side Stone,,Cts,1200,US$
Bangkok,2992,M,Pear,VS2,0.32,G,GD,6.31X4.13X2.21,53.4,58,Fnt,,GIA,3276000000,Cts,800,US$
Mumbai,2056,Fancy Intense Purplish Pink,Round,,0.31,,,4.31 x 4.34 x 2.67,,,None,,GIA,2182000000,Cts,33000,US$
Mumbai,1464,Fancy Brownish Purplish Pink,Radiant,I2,0.31,,,3.77 x 3.51 x 2.70,,,None,,GIA,5203000000,Cts,4500,US$
Hong Kong,4677,,Trapezoid,,0.31,,,,0,0,None,,Side Stone,,Cts,1200,US$
Mumbai,5787,Fancy Pink,Heart,SI2,0.31,,,4.11X4.37X2.38,0,0,None,,CGL,H9275683,Cts,18500,US$
Bangkok,6072,Light Pinkish Brown,Pear,SI2,0.31,VG,VG,5.50 X 3.40 X 2.39,70.3,57,None,,GIA,2435000000,Cts,2500,US$
Bangkok,6404,Very Light Pink,Pear,I1,0.31,VG,VG,5.48 X 3.56 X 2.30,64.4,58,None,,GIA,2222000000,Cts,2500,US$
Bangkok,5771,Faint Pinkish Brown,Heart,VS1,0.31,EX,GD,4.00 X 4.77 X 2.74,57.5,59,None,,GIA,7411000000,Cts,1800,US$
Mumbai,8220,Fancy Light Brownish Yellow,Pear,SI1,0.31,,,5.71X3.26X1.96,,,-,,,,Cts,300,US$
Mumbai,8238,Fancy Light Brownish Greenish Yellow,Emerald,SI1,0.31,,,5.25X2.79X1.86,,,,,,,Cts,300,US$
Mumbai,3746,Fancy Deep Yellow Orange,Oval,SI2,0.31,G,GD,5.34 x 3.47 x 2.24,64.3,68,Fnt,,GIA,5346000000,Cts,3000,US$
Mumbai,5522,Fancy Deep Orangy Pink,Pear,I3,0.31,VG,GD,5.14X 3.60X 2.28,63.4,56,Fnt,,GIA,6305000000,Cts,50000,US$
Mumbai,7153,Fancy Brownish Purple Pink,Heart,SI1,0.3,G,GD,3.75 X 4.68 X 2.41,51.4,69,None,,GIA,6451000000,Cts,8000,US$
Mumbai,2557,Fancy Brown Pink,Cushion,,0.3,,,4.15 x 4.13 x 2.43,0,0,None,,GIA,2246000000,Cts,3000,US$
Mumbai,8254,Fancy Light Brownish Yellow,Cushion,VS1,0.3,,,3.64X3.53X2.46,,,,,,,Cts,300,US$
Mumbai,8237,Fancy Dark Brown Greenish Yellow,Emerald,VS2,0.3,,,3.99X3.14X2.12,,,,,,,Cts,300,US$
Mumbai,8241,Fancy Dark Brown,Emerald,SI2,0.3,,,4.09X3.02X2.01,,,,,,,Cts,300,US$
Mumbai,8229,Fancy Greenish Yellow,Pear,VS2,0.3,,,6.27X3.53X2.17,,,-,,,,Cts,300,US$
Bangkok,7135,Very Light Pink,Radiant,SI1,0.3,VG,VG,3.78 X 3.62 X 2.5,68.5,58,None,,GIA,6455000000,Cts,2100,US$
Bangkok,1483,Fancy Deep Orangy Pink,Cushion,I1,0.3,,,4.71 x 3.78 x 2.28,0,0,Fnt,,GIA,5203000000,Cts,35000,US$
Bangkok,3380,N,Emerald,VS1,0.3,EX,VG,4.55*3.34*2.17,64.9,63,Fnt,,GIA,2339000000,Cts,800,US$
Mumbai,2539,Faint Pink,Cushion,VS2,0.3,,,3.93*3.91*2.32,0,0,None,,CGL,H9209033,Cts,1407,US$
Mumbai,2967,Light Yellowish Gray,Marquise,,0.3,,,7.32*3.30*2.08,0,0,None,,CGL,H8423497,Cts,0,US$
Bangkok,1836,Fancy Light Brownish Yellow,Pear,SI2,0.3,VG,GD,5.55X3.52X2.51,71.4,58,Fnt,,GIA,1234000000,Cts,550,US$
Bangkok,6395,Light Pink,Marquise,SI1,0.3,G,GD,7.06 X 3.28 X 1.97,60.2,56,None,,GIA,1227000000,Cts,3800,US$
Mumbai,7109,Fancy Vivid Orange Yellow,Cushion,SI2,0.3,G,VG,4.37 X 3.36 X 2.37,70.5,54,Med,Yellow,GIA,3446000000,Cts,6666,US$
Mumbai,7134,Faint Pink,Round,VS1,0.3,EX,EX,4.33X4.31X2.7,61.4,56,None,,GIA,7456000000,Cts,1800,US$
Mumbai,7337,Very Light Pinkish Brown,Round,SI2,0.3,VG,GD,4.08 X 4.06 X 2.8,68.7,54,Med,Blue,GIA,6481000000,Cts,2000,US$
Bangkok,6429,G,Round,,0.3,,,5.05,0,0,None,,,SV-4,Cts,36000,US$
Mumbai,6322,Faint Pink,Pear,SI1,0.3,VG,GD,5.56 x 3.56 x 2.23,62.4,54,None,,GIA,5222000000,Cts,3400,US$
Mumbai,9257,Faint Yellow Green,Round,VS2,0.3,EX,VG,4.24 - 4.26 x 2.65,62.4,57,STG,,GIA,6402000000,Cts,1000,US$
Mumbai,9189,Very Light Green Yellow,Pear,SI1,0.3,EX,VG,5.97 x 3.58 x 2.35,65.6,65,STG,,GIA,2418000000,Cts,1800,US$
Mumbai,9245,Faint Pinkish Brown,Marquise,SI1,0.3,G,GD,7.38 X 3.56 X 2.06,57.7,64,None,,GIA,1526000000,Cts,1500,US$
Hong Kong,7105,Fancy Vivid Yellowish Orange,Cushion,SI2,0.3,VG,VG,,70,49,Med,,GIA,6342000000,Cts,8888,US$
Mumbai,9191,Faint Yellow Green,Round,VS2,0.3,EX,EX,4.21 - 4.24 x 2.71,64.2,56,None,,GIA,2226000000,Cts,1000,US$
Bangkok,3164,L,Pear,VS2,0.3,VG,GD,5.71 x 3.70 x 2.31,62.4,55,Med,Blue,GIA,7303000000,Cts,800,US$
Bangkok,6287,Q-R,Round,VS2,0.3,EX,GD,4.02 X 4.06 X 2.73,67.5,54.5,STG,,IGI,480160766,Cts,1000,US$
Hong Kong,3194,D,Round,IF,0.3,EX,EX,4.27 X 4.29 X2.65,59,62,None,,GIA,7346000000,Cts,2800,US$
Mumbai,8242,S-T,Emerald,SI2,0.29,,,3.98X3.07X2.27,,,,,,,Cts,300,US$
Mumbai,7685,Fancy Intense Yellow Orange,Marquise,I1,0.29,VG,GD,6.30 X 2.99 X 2.22,74.3,59,Med,Yellow,GIA,6482000000,Cts,3000,US$
Hong Kong,4444,,Cadillac,,0.28,,,,0,0,None,,Side Stone,,Cts,1150,US$
Mumbai,6128,Fancy Pink Purple,Radiant,SI2,0.28,VG,GD,4.08 x 3.03 x 2.30,75.9,66,None,,GIA,7426000000,Cts,7002,US$
Bangkok,1318,Light Orangy Pink,Round,SI2,0.28,,,4.04x4.11x2.59,0,0,Med,,CGL,H8000463,Cts,13500,US$
Mumbai,8224,Fancy Brownish Greenish Yellow,Pear,VS2,0.28,,,6.18X3.85X1.53,,,-,,,,Cts,300,US$
Mumbai,8252,Fancy Light Greenish Yellow,Cushion,VS2,0.28,,,3.34X3.63X2.15,,,,,,,Cts,300,US$
Mumbai,2977,Fancy Brownish Orangy Pink,Round,I3,0.28,,,XX,,,None,,AGT,5296479,Cts,500,US$
Mumbai,8212,Fancy Brownish Greenish Yellow,Pear,SI1,0.28,,,5.46X3.28X1.97,,,-,,,,Cts,300,US$
Mumbai,6189,Y-Z,Cushion,VS1,0.28,G,GD,3.70 X 3.22 X 2.42,49.5,57.5,Vst,,IGI,432029974,Cts,800,US$
Bangkok,6067,Fancy Brown Pink,Radiant,SI2,0.28,G,GD,4.15 X 3.34 X 2.18,65.4,62,Fnt,,GIA,5327000000,Cts,3950,US$
Mumbai,6096,E,Pear,SI1,0.27,VG,GD,5.67 X 3.48 X 1.94,55.7,63,None,,GIA,2437000000,Cts,2625,US$
Mumbai,606,Fancy Brownish Pink,Pear,I1,0.27,VG,GD,5.19X3.51X2.32,66.1,55,Med,Blue,GIA,6196000000,Cts,8000,US$
Mumbai,5461,Fancy Dark Gray Green,Oval,SI1,0.27,G,GD,4.64X 3.36X 2.20,65.4,58,None,,GIA,2369000000,Cts,58300,US$
Mumbai,2237,Fancy Purple Pink,Cushion,I1,0.27,VG,GD,3.91X3.41X2.31,67.6,62,Med,Blue,GIA,6183000000,Cts,7200,US$
Mumbai,2960,Fancy Light Yellowish Gray,Marquise,SI2,0.27,,,6.96*3.09*2.03,0,0,None,,CGL,H8423498,Cts,0,US$
Mumbai,6438,G,Pear,,0.27,,,7.00 X 4.00,0,0,None,,,SV-16,Cts,36000,US$
Bangkok,5643,,Trillion,VS1,0.27,,,XX,0,0,None,,Side Stone,,Cts,0,US$
Hong Kong,5364,,Half Moon,,0.26,,,3.5 X 3.0,0,0,None,,Side Stone,,Cts,1150,US$
Mumbai,2494,Fancy Light Brownish Pink,Marquise,I1,0.26,,,,0,0,None,,CGL,N0986165,Cts,2000,US$
Mumbai,1321,Fancy Deep Pink,Oval,SI2,0.26,,,4.42x3.43x2.15,0,0,Fnt,,CGL,h8181000,Cts,13500,US$
Bangkok,423,Fancy Deep Brownish Orangy Pink,Cushion,VS2,0.26,VG,GD,3.29X3.19X2.58,80.9,67,None,,GIA,2204000000,Cts,20000,US$
Mumbai,2529,Fancy Light Blue,Radiant,VS2,0.26,VG,VG,3.80X3.47X2.35,67.9,60,None,,GIA,2173000000,Cts,35000,US$
Mumbai,8257,Fancy Light Greenish Yellow,Marquise,VS1,0.26,,,6.67X3.24X1.82,,,,,,,Cts,300,US$
Mumbai,8223,Fancy Greenish Yellow,Pear,VS1,0.26,,,5.72X3.24X2.13,,,-,,,,Cts,300,US$
Bangkok,6326,Light Pinkish Pink,Oval,SI1,0.26,,,4.48 X 3.43 X 1.80,,,,,,,Cts,0,US$
Bangkok,2666,Fancy Orangy Pink,Round,I1,0.25,,,3.87X3.93X2.52,0,0,None,,CGL,H8967192,Cts,7500,US$
Bangkok,6071,Fancy Pinkish Brown,Pear,SI2,0.25,G,GD,5.65 X 3.41 X 2.01,58.8,57,None,,GIA,1434000000,Cts,2500,US$
Bangkok,7157,Fancy Brownish Pink,Oval,VS2,0.25,G,GD,4.72 X 3.31 X 2.01,60.6,62,None,,GIA,1459000000,Cts,3900,US$
Bangkok,7155,Fancy Deep Brownish Orangy Pink,Emerald,SI2,0.25,VG,GD,4.09 X 3.09 X 1.98,64.1,62,Fnt,,GIA,1450000000,Cts,10000,US$
Mumbai,7154,Fancy Brownish Orangy Pink,Pear,VS2,0.25,G,VG,5.12 X 3.17 X 2.06,65.1,59,Med,Blue,GIA,3446000000,Cts,10000,US$
Mumbai,2887,Fancy Gray Blue,Cushion,SI2,0.25,EX,VG,3.63X3.60X2.22,61.7,64,Med,Blue,GIA,2297000000,Cts,20000,US$
Mumbai,1583,Fancy Pinkish Purple,Radiant,I2,0.25,VG,VG,4.02X3.25X2.09,64.4,66,None,,GIA,2185000000,Cts,14500,US$
Mumbai,7156,Fancy Purple Pink,Pear,SI2,0.25,VG,VG,5.01 X 3.34 X 2.15,64.4,54,None,,GIA,7458000000,Cts,9999,US$
Mumbai,7098,Faint Yellow Green,Round,SI1,0.25,G,VG,4.21 x 4.23 x 2.37,56.2,63,None,,GIA,2176000000,Cts,700,US$
Bangkok,5601,Very Light Pink,Cushion,VS1,0.25,VG,VG,4.07X2.80X2.22,79.3,62,None,,GIA,6422000000,Cts,3500,US$
Mumbai,2491,Fancy Intense Pink,Cushion,SI2,0.25,,,,0,0,None,,,OS-74682,Cts,1500,US$
Mumbai,1327,Fancy Light Pink,Round,VS2,0.25,EX,EX,4.04X4.01X2.51,62.4,56,Fnt,,GIA,2125000000,Cts,15000,US$
Mumbai,314,Fancy Brownish Orangy Pink,Pear,SI2,0.25,G,GD,4.51X3.61X2.06,57.1,59,Med,Blue,GIA,2196000000,Cts,12000,US$
Mumbai,5755,Fancy Pinkish Purple,Cushion,SI1,0.25,G,GD,3.38 X 3.30 X 2.50,75.6,57,None,,GIA,3555000000,Cts,18000,US$
Mumbai,1460,Fancy Deep Orangy Pink,Radiant,,0.24,,,4.01 x 3.26 x 2.31,,,None,,GIA,2254000000,Cts,20000,US$
Mumbai,8258,O-P,Princess,SI1,0.24,,,3.42X3.28X1.9,,,,,,,Cts,300,US$
Mumbai,9499,D,Heart,VS1,0.24,,,,,,,,NC,,Cts,0,US$
Bangkok,6289,M,Round,VVS2,0.24,VG,VG,3.99-4.00x2.51,62.7,56,Fnt,,GIA,6321000000,Cts,1000,US$
Bangkok,5678,,Half Moon,VS1,0.24,,,XX,0,0,None,,Side Stone,,Cts,1100,US$
Hong Kong,5000,,Bullet,,0.24,,,4.5*2.4,0,0,None,,Side Stone,,Cts,1100,US$
Bangkok,5363,,Half Moon,,0.24,,,3.4 X 2.9,0,0,None,,Side Stone,,Cts,1100,US$
Mumbai,7340,Faint Pink,Round,,0.24,,,,,,,,NC,,Cts,0,US$
Mumbai,8233,Fancy Brownish Yellow,Oval,SI1,0.23,,,4.67X3.18X2.12,,,,,,,Cts,300,US$
Mumbai,6434,G,Pear,,0.23,,,6.75 X 3.70,0,0,None,,,SV-7,Cts,36000,US$
Mumbai,2964,Fancy Light Brown Pink,Round,I1,0.23,,,3.61x3.22x2.26,0,0,None,,CGL,H9209032,Cts,0,US$
Mumbai,2558,Fancy Light Grayish Blue,Pear,VS1,0.23,G,F,4.56X3.20X2.21,69.2,59,None,,GIA,5173000000,Cts,18000,US$
Mumbai,8230,U-V,Oval,VS2,0.23,,,4.89X3.19X1.99,,,-,,,,Cts,300,US$
Bangkok,6852,Fancy Deep Orangy Pink,Shield,SI2,0.23,G,VG,3.84 X 5.19 X 1.80,34.7,71,Med,Orange,GIA,6228000000,Cts,5000,US$
Bangkok,6856,Fancy Intense Pink,Radiant,SI2,0.23,VG,GD,3.55X3.54X2.15,60.7,66,None,,GIA,2224000000,Cts,45000,US$
Bangkok,4998,E,Bullet,SI2,0.22,VG,GD,4.4 X 3.00,,55,None,,,,Cts,40000,US$
Mumbai,6330,E,Other,VVS2,0.22,EX,VG,3.56 X 3.51 X 2.51,71.5,55,None,,GIA,5181000000,Cts,2300,US$
Mumbai,2972,Fancy Brownish Greenish Yellow,Round,SI2,0.22,,,,0,0,None,,CGL,H9400317,Cts,0,US$
Bangkok,6445,G,Oval,,0.22,,,6.40 X 3.60,0,0,None,,,SV-10,Cts,36000,US$
Mumbai,8256,Fancy Brown Pink,Marquise,VS2,0.22,,,5.31X2.82X2.23,,,,,,,Cts,300,US$
Mumbai,1059,Fancy Pink,Round,SI2,0.22,G,F,3.50x3.54x2.56,72.6,63,Med,Blue,GIA,7229000000,Cts,20000,US$
Mumbai,2785,Fancy Brownish Pink,Round,,0.21,,,3.69 x 3.73 x 2.45,0,0,None,,GIA,7246000000,Cts,8000,US$
Mumbai,79,Fancy Intense Purplish Pink,Round,,0.21,,,3.51 X 3.55 X 2.48,0,0,None,,GIA,6128000000,Cts,30000,US$
Mumbai,5759,Fancy Light Pink,Round,SI1,0.21,,,3.85 X 3.90,,,STG,,AGT,5377842,Cts,12500,US$
Bangkok,2562,Fancy Orangy Pink,Round,SI1,0.21,G,GD,3.88X3.85X2.37,61.3,63,Med,,GIA,6205000000,Cts,45000,US$
Mumbai,6453,,Other,FL,0.21,,,8.35X 6.60,0,0,None,,Side Stone,SV-62,Cts,0,US$
Mumbai,221,Fancy Light Purplish Pink,Round,SI1,0.21,G,GD,3.50X3.46X2.57,73.8,59,None,,GIA,7191000000,Cts,10000,US$
Mumbai,408,Fancy Intense Pink,Pear,I1,0.21,VG,GD,4.25X3.31X2.07,62.5,62,Fnt,,GIA,6186000000,Cts,20000,US$
Mumbai,6329,D,Other,VS2,0.21,EX,VG,3.43 X 3.42 X 2.35,68.7,63,None,,GIA,1182000000,Cts,2200,US$
Bangkok,4997,,Bullet,,0.21,,,4.40 x 2.40,,,None,,Side Stone,,Cts,1100,US$
Mumbai,2969,Fancy Light Brownish Greenish Yellow,Round,SI2,0.2,,,3.35x3.33x2.04,0,0,None,,CGL,H9400319,Cts,0,US$
Mumbai,305,Fancy Light Pink,Round,I1,0.2,VG,F,3.65X3.62X2.40,65.8,63,Fnt,,GIA,7182000000,Cts,8500,US$
Bangkok,6437,G,Pear,,0.2,,,6.45 X 3.65,0,0,None,,,SV-8,Cts,36000,US$
Bangkok,6435,G,Pear,,0.2,,,5.60 X 3.40,0,0,None,,,SV-59,Cts,36000,US$
Bangkok,8699,PINK,Cushion,VS,0.2,,,,,,,,,,Cts,0,US$
Bangkok,6003,Fancy Brownish Pink,Pear,I1,0.2,,,3.00 x 1.75 x 1.00,,,,,NC,,Cts,3500,US$
Bangkok,3761,Fancy Gray,Cushion,VS1,0.2,VG,GD,3.49*3.47*2.11,61,67,Fnt,,GIA,5222000000,Cts,5000,US$
Mumbai,2541,Fancy Light Brownish Pink,Heart,SI1,0.2,G,GD,3.71X4.39X2.05,46.8,69,Med,Blue,GIA,2201000000,Cts,3800,US$
Mumbai,8214,Fancy Dark Brownish Greenish Yellow,Pear,SI2,0.19,,,4.21X2.84X1.84,,,-,,,,Cts,300,US$
Bangkok,3615,Faint Green,Emerald,SI1,0.19,,,,,,,,NC,,Cts,0,US$
Mumbai,8911,Fancy Light Orangy Pink,Cushion,SI2,0.19,VG,GD,3.13 x 3.11 x 2.11,,58,Med,Blue,GIA,5221000000,Cts,8000,US$
Bangkok,6425,G,Round,,0.19,,,4.3,0,0,None,,,SV-13,Cts,36000,US$
Bangkok,6625,G,Pear,,0.19,,,4.85 X 2.85,0,0,None,,,SV-5,Cts,36000,US$
Bangkok,4994,,Bullet,,0.19,,,4.0 X 2.2,0,0,None,,Side Stone,,Cts,1050,US$
Mumbai,402,Fancy Deep Pink,Marquise,I1,0.19,G,F,4.81X2.83X2.32,82,57,Fnt,,GIA,6186000000,Cts,25000,US$
Mumbai,2499,Fancy Pink Purple,Pear,VS2,0.19,VG,F,4.35X2.97X1.97,66.3,59,None,,GIA,2201000000,Cts,8888,US$
